# label=tilt  fov_half_deg=15.00000000
capture_idx,pan_rad,tilt_rad,ldir_x,ldir_y,lmean_x,lmean_y,pt_x,pt_y
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64689543,-0.01985263
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64740495,-0.01589279
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64669040,-0.01190551
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64655132,-0.00793480
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64488782,-0.00395704
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64399999,0.00000000
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64388786,0.00395091
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64355152,0.00789798
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64359095,0.01184845
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64320623,0.01578987
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64289730,0.01973009
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64086541,0.02360454
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.64030893,0.02751921
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63823029,0.03135433
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63862495,0.03530298
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63719861,0.03914727
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63654733,0.04302919
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63527399,0.04686061
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63228311,0.05054256
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63136332,0.05436976
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63211317,0.05834382
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.63124566,0.06217230
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62945991,0.06589862
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62934188,0.06979275
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62850450,0.07360649
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62774329,0.07742482
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62695890,0.08123659
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62734048,0.08520314
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62710288,0.08909303
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62694008,0.09299789
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62665415,0.09688867
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62802243,0.10104965
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62689746,0.10481878
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62565129,0.10856080
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62448133,0.11230920
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62299396,0.11599241
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62099392,0.11956706
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61838513,0.12300450
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61947994,0.12717864
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61849223,0.13093588
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61875191,0.13496285
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61927812,0.13906365
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.62016699,0.14326601
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61840058,0.14686064
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61787646,0.15074699
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61723086,0.15460827
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61646431,0.15844242
2,0.00000000,-0.08639380,-0.17518216,0.98453604,0.64403004,-0.00267109,0.61673757,0.16255332
3,0.00000000,0.00000000,-0.17054997,0.98534903,0.64843452,-0.00261582,0.67678686,-0.17838049
3,0.00000000,0.00000000,-0.17054997,0.98534903,0.64843452,-0.00261582,0.67602844,-0.17375147
3,0.00000000,0.00000000,-0.17054997,0.98534903,0.64843452,-0.00261582,0.67582081,-0.16928429
3,0.00000000,0.00000000,-0.17054997,0.98534903,0.64843452,-0.00261582,0.67334933,-0.16428103
3,0.00000000,0.00000000,-0.17054997,0.98534903,0.64843452,-0.00261582,0.67463660,-0.16021566
3,0.00000000,0.00000000,-0.17054997,0.98534903,0.64843452,-0.00261582,0.67287877,-0.15544290
