# label=pan  fov_half_deg=15.00000000
capture_idx,pan_rad,tilt_rad,ldir_x,ldir_y,lmean_x,lmean_y,pt_x,pt_y
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42167298,-0.01035142
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42222847,-0.00777318
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42346811,-0.00519701
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42399201,-0.00260162
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42539999,0.00000000
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42739195,0.00262248
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42856774,0.00525960
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.42902731,0.00789835
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43107013,0.01058221
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43159681,0.01324542
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43310632,0.01595230
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43300029,0.01860949
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43367697,0.02130524
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43643367,0.02412591
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43877271,0.02695667
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43949700,0.02970903
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.43980511,0.03244196
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44039521,0.03520370
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44086833,0.03796531
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44132411,0.04073406
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44116540,0.04345102
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44208395,0.04628209
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44328251,0.04915914
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44476032,0.05208753
0,-0.43982297,-0.26389378,0.31113219,0.95036664,0.42894702,0.00327752,0.44621880,0.05503589
